Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,D2,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,D3,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,D4,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,D5,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,D6,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,D7,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,D8,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,D9,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,D10,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,D11,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,E2,25,Actual concentration: 0.70 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,E3,25,Actual concentration: 0.70 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,E4,25,Actual concentration: 0.70 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,E5,25,Actual concentration: 0.70 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,E6,25,Actual concentration: 0.70 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,E7,25,Actual concentration: 0.70 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,E8,25,Actual concentration: 0.70 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,E9,25,Actual concentration: 0.70 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,E10,25,Actual concentration: 0.70 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,E11,25,Actual concentration: 0.70 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,F2,75,Actual concentration: 2.09 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,F3,75,Actual concentration: 2.09 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,F4,75,Actual concentration: 2.09 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,F5,75,Actual concentration: 2.09 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,F6,75,Actual concentration: 2.09 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,F7,75,Actual concentration: 2.09 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,F8,75,Actual concentration: 2.09 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,F9,75,Actual concentration: 2.09 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,F10,75,Actual concentration: 2.09 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,F11,75,Actual concentration: 2.09 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,G2,100,Actual concentration: 2.78 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,G3,100,Actual concentration: 2.78 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,G4,100,Actual concentration: 2.78 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,G5,100,Actual concentration: 2.78 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,G6,100,Actual concentration: 2.78 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,G7,100,Actual concentration: 2.78 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,G8,100,Actual concentration: 2.78 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,G9,100,Actual concentration: 2.78 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,G10,100,Actual concentration: 2.78 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,G11,100,Actual concentration: 2.78 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,H2,150,Actual concentration: 4.17 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,H3,150,Actual concentration: 4.17 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,H4,150,Actual concentration: 4.17 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,H5,150,Actual concentration: 4.17 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,H6,150,Actual concentration: 4.17 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,H7,150,Actual concentration: 4.17 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,H8,150,Actual concentration: 4.17 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,H9,150,Actual concentration: 4.17 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,H10,150,Actual concentration: 4.17 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,H11,150,Actual concentration: 4.17 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,I2,175,Actual concentration: 4.87 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,I3,175,Actual concentration: 4.87 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,I4,175,Actual concentration: 4.87 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,I5,175,Actual concentration: 4.87 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,I6,175,Actual concentration: 4.87 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,I7,175,Actual concentration: 4.87 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,I8,175,Actual concentration: 4.87 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,I9,175,Actual concentration: 4.87 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,I10,175,Actual concentration: 4.87 nM
Source[1],384_PP_AP_BP,A01,GFP Plasmid,Nunc_384_black_glassbottom,I11,175,Actual concentration: 4.87 nM
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,D2,1250,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,D3,1200,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,D4,1150,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,D5,1100,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,D6,1050,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,D7,1000,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,D8,950,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,D9,900,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,D10,850,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,D11,800,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,E2,1225,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,E3,1175,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,E4,1125,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,E5,1075,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,E6,1025,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,E7,975,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,E8,925,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,E9,875,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,E10,825,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,E11,775,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,F2,1175,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,F3,1125,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,F4,1075,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,F5,1025,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,F6,975,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,F7,925,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,F8,875,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,F9,825,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,F10,775,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,F11,725,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,G2,1150,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,G3,1100,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,G4,1050,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,G5,1000,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,G6,950,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,G7,900,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,G8,850,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,G9,800,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,G10,750,
Source[1],384_PP_AP_BP,A03,water,Nunc_384_black_glassbottom,G11,700,
