well,name,concentration,volume,date
A01,txtl_mm,1.0,21000,19/10/2019
A02,txtl_mm,1.0,21000,19/10/2019
A03,txtl_mm,1.0,21000,19/10/2019
A04,txtl_mm,1.0,21000,19/10/2019
A05,txtl_mm,1.0,21000,19/10/2019
A06,txtl_mm,1.0,21000,19/10/2019
A07,txtl_mm,1.0,21000,19/10/2019
A08,txtl_mm,1.0,21000,19/10/2019
A09,txtl_mm,1.0,21000,19/10/2019
A10,txtl_mm,1.0,21000,19/10/2019
A11,txtl_mm,1.0,21000,19/10/2019
A12,txtl_mm,1.0,21000,19/10/2019
A13,txtl_mm,1.0,21000,19/10/2019
A14,txtl_mm,1.0,21000,19/10/2019
A15,txtl_mm,1.0,21000,19/10/2019
A16,txtl_mm,1.0,21000,19/10/2019
A17,txtl_mm,1.0,21000,19/10/2019
A18,txtl_mm,1.0,21000,19/10/2019
A20,GFP Plasmid,294.0,21000,19/10/2019
A21,GFP Plasmid,294.0,21000,19/10/2019
A23,ATc,1000.0,21000,19/10/2019
A24,ATc,1000.0,21000,19/10/2019
B01,water,1.0,21000,19/10/2019
B02,water,1.0,21000,19/10/2019
B03,water,1.0,21000,19/10/2019
B04,water,1.0,21000,19/10/2019
