Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,D2,7500,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,D3,7500,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,D4,7500,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,D5,7500,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,D6,7500,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,D7,6500,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,D7,1000,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,D8,7500,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,D9,7500,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,D10,7500,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,D11,7500,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,E2,7500,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,E3,5500,
Source[1],384PP_AQ_BP,A03,txtl_mm,Nunc_384_black_glassbottom,E3,2000,
Source[1],384PP_AQ_BP,A03,txtl_mm,Nunc_384_black_glassbottom,E4,7500,
Source[1],384PP_AQ_BP,A03,txtl_mm,Nunc_384_black_glassbottom,E5,7500,
Source[1],384PP_AQ_BP,A03,txtl_mm,Nunc_384_black_glassbottom,E6,7500,
Source[1],384PP_AQ_BP,A03,txtl_mm,Nunc_384_black_glassbottom,E7,7500,
Source[1],384PP_AQ_BP,A03,txtl_mm,Nunc_384_black_glassbottom,E8,7500,
Source[1],384PP_AQ_BP,A03,txtl_mm,Nunc_384_black_glassbottom,E9,4500,
Source[1],384PP_AQ_BP,A04,txtl_mm,Nunc_384_black_glassbottom,E9,3000,
Source[1],384PP_AQ_BP,A04,txtl_mm,Nunc_384_black_glassbottom,E10,7500,
