Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G11,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G12,750,Actual concentration: 3.00 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G13,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G14,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G15,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G16,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G17,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G18,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G19,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G20,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G21,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G22,750,Actual concentration: 3.00 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G23,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,G24,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,H8,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,H9,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,H10,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,H11,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,H12,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,H13,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,H14,375,Actual concentration: 1.50 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,H15,750,Actual concentration: 3.00 nM
Source[1],384PP_AQ_BP,A01,pos ctrl gfp,Nunc_384_black_glassbottom,H16,375,Actual concentration: 1.50 nM
