Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,RFP Plasmid (nM),GFP Plasmid (nM),Replicate,ChanStr
mRFP,100,0,0.0,A6,16,AFU,580,610,0.44,0.24,1,mRFP100580610
mRFP,100,0,0.0,A7,13,AFU,580,610,0.44,0.49,1,mRFP100580610
mRFP,100,0,0.0,A8,7,AFU,580,610,0.44,0.98,1,mRFP100580610
mRFP,100,0,0.0,A9,12,AFU,580,610,0.44,2.01,1,mRFP100580610
mRFP,100,0,0.0,A11,10,AFU,580,610,0.44,0.24,2,mRFP100580610
mRFP,100,0,0.0,A12,5,AFU,580,610,0.44,0.49,2,mRFP100580610
mRFP,100,0,0.0,A13,9,AFU,580,610,0.44,0.98,2,mRFP100580610
mRFP,100,0,0.0,A14,17,AFU,580,610,0.44,2.01,2,mRFP100580610
mRFP,100,0,0.0,B6,4,AFU,580,610,0.88,0.24,1,mRFP100580610
mRFP,100,0,0.0,B7,11,AFU,580,610,0.88,0.49,1,mRFP100580610
mRFP,100,0,0.0,B8,21,AFU,580,610,0.88,0.98,1,mRFP100580610
mRFP,100,0,0.0,B9,11,AFU,580,610,0.88,2.01,1,mRFP100580610
mRFP,100,0,0.0,B11,13,AFU,580,610,0.88,0.24,2,mRFP100580610
mRFP,100,0,0.0,B12,13,AFU,580,610,0.88,0.49,2,mRFP100580610
mRFP,100,0,0.0,B13,15,AFU,580,610,0.88,0.98,2,mRFP100580610
mRFP,100,0,0.0,B14,4,AFU,580,610,0.88,2.01,2,mRFP100580610
mRFP,100,0,0.0,C6,16,AFU,580,610,2.2,0.24,1,mRFP100580610
mRFP,100,0,0.0,C7,5,AFU,580,610,2.2,0.49,1,mRFP100580610
mRFP,100,0,0.0,C8,3,AFU,580,610,2.2,0.98,1,mRFP100580610
mRFP,100,0,0.0,C9,7,AFU,580,610,2.2,2.01,1,mRFP100580610
mRFP,100,0,0.0,C11,0,AFU,580,610,2.2,0.24,2,mRFP100580610
mRFP,100,0,0.0,C12,3,AFU,580,610,2.2,0.49,2,mRFP100580610
mRFP,100,0,0.0,C13,7,AFU,580,610,2.2,0.98,2,mRFP100580610
mRFP,100,0,0.0,C14,5,AFU,580,610,2.2,2.01,2,mRFP100580610
mRFP,100,0,0.0,D6,18,AFU,580,610,3.97,0.24,1,mRFP100580610
mRFP,100,0,0.0,D7,9,AFU,580,610,3.97,0.49,1,mRFP100580610
mRFP,100,0,0.0,D8,16,AFU,580,610,3.97,0.98,1,mRFP100580610
mRFP,100,0,0.0,D9,12,AFU,580,610,3.97,2.01,1,mRFP100580610
mRFP,100,0,0.0,D11,19,AFU,580,610,3.97,0.24,2,mRFP100580610
mRFP,100,0,0.0,D12,3,AFU,580,610,3.97,0.49,2,mRFP100580610
mRFP,100,0,0.0,D13,0,AFU,580,610,3.97,0.98,2,mRFP100580610
mRFP,100,0,0.0,D14,5,AFU,580,610,3.97,2.01,2,mRFP100580610
mRFP,100,0,0.0,E10,0,AFU,580,610,0,0,1,mRFP100580610
mRFP,100,0,0.0,E15,11,AFU,580,610,0,0,2,mRFP100580610
mRFP,100,0,0.0,G1,11,AFU,580,610,0.44,0.24,3,mRFP100580610
mRFP,100,0,0.0,G2,8,AFU,580,610,0.44,0.49,3,mRFP100580610
mRFP,100,0,0.0,G3,15,AFU,580,610,0.44,0.98,3,mRFP100580610
mRFP,100,0,0.0,G4,11,AFU,580,610,0.44,2.01,3,mRFP100580610
mRFP,100,0,0.0,H1,12,AFU,580,610,0.88,0.24,3,mRFP100580610
mRFP,100,0,0.0,H2,14,AFU,580,610,0.88,0.49,3,mRFP100580610
mRFP,100,0,0.0,H3,3,AFU,580,610,0.88,0.98,3,mRFP100580610
mRFP,100,0,0.0,H4,8,AFU,580,610,0.88,2.01,3,mRFP100580610
mRFP,100,0,0.0,I1,16,AFU,580,610,2.2,0.24,3,mRFP100580610
mRFP,100,0,0.0,I2,7,AFU,580,610,2.2,0.49,3,mRFP100580610
mRFP,100,0,0.0,I3,1,AFU,580,610,2.2,0.98,3,mRFP100580610
mRFP,100,0,0.0,I4,16,AFU,580,610,2.2,2.01,3,mRFP100580610
mRFP,100,0,0.0,J1,1,AFU,580,610,3.97,0.24,3,mRFP100580610
mRFP,100,0,0.0,J2,8,AFU,580,610,3.97,0.49,3,mRFP100580610
mRFP,100,0,0.0,J3,15,AFU,580,610,3.97,0.98,3,mRFP100580610
mRFP,100,0,0.0,J4,9,AFU,580,610,3.97,2.01,3,mRFP100580610
mRFP,100,0,0.0,K5,5,AFU,580,610,0,0,3,mRFP100580610
mRFP,100,360,0.1,A6,14,AFU,580,610,0.44,0.24,1,mRFP100580610
mRFP,100,360,0.1,A7,13,AFU,580,610,0.44,0.49,1,mRFP100580610
mRFP,100,360,0.1,A8,16,AFU,580,610,0.44,0.98,1,mRFP100580610
mRFP,100,360,0.1,A9,24,AFU,580,610,0.44,2.01,1,mRFP100580610
mRFP,100,360,0.1,A11,0,AFU,580,610,0.44,0.24,2,mRFP100580610
mRFP,100,360,0.1,A12,31,AFU,580,610,0.44,0.49,2,mRFP100580610
mRFP,100,360,0.1,A13,8,AFU,580,610,0.44,0.98,2,mRFP100580610
mRFP,100,360,0.1,A14,0,AFU,580,610,0.44,2.01,2,mRFP100580610
mRFP,100,360,0.1,B6,0,AFU,580,610,0.88,0.24,1,mRFP100580610
mRFP,100,360,0.1,B7,12,AFU,580,610,0.88,0.49,1,mRFP100580610
mRFP,100,360,0.1,B8,6,AFU,580,610,0.88,0.98,1,mRFP100580610
mRFP,100,360,0.1,B9,12,AFU,580,610,0.88,2.01,1,mRFP100580610
mRFP,100,360,0.1,B11,12,AFU,580,610,0.88,0.24,2,mRFP100580610
mRFP,100,360,0.1,B12,11,AFU,580,610,0.88,0.49,2,mRFP100580610
mRFP,100,360,0.1,B13,7,AFU,580,610,0.88,0.98,2,mRFP100580610
mRFP,100,360,0.1,B14,8,AFU,580,610,0.88,2.01,2,mRFP100580610
mRFP,100,360,0.1,C6,14,AFU,580,610,2.2,0.24,1,mRFP100580610
mRFP,100,360,0.1,C7,21,AFU,580,610,2.2,0.49,1,mRFP100580610
mRFP,100,360,0.1,C8,18,AFU,580,610,2.2,0.98,1,mRFP100580610
mRFP,100,360,0.1,C9,10,AFU,580,610,2.2,2.01,1,mRFP100580610
mRFP,100,360,0.1,C11,0,AFU,580,610,2.2,0.24,2,mRFP100580610
mRFP,100,360,0.1,C12,16,AFU,580,610,2.2,0.49,2,mRFP100580610
mRFP,100,360,0.1,C13,9,AFU,580,610,2.2,0.98,2,mRFP100580610
mRFP,100,360,0.1,C14,18,AFU,580,610,2.2,2.01,2,mRFP100580610
mRFP,100,360,0.1,D6,1,AFU,580,610,3.97,0.24,1,mRFP100580610
mRFP,100,360,0.1,D7,10,AFU,580,610,3.97,0.49,1,mRFP100580610
mRFP,100,360,0.1,D8,0,AFU,580,610,3.97,0.98,1,mRFP100580610
mRFP,100,360,0.1,D9,9,AFU,580,610,3.97,2.01,1,mRFP100580610
mRFP,100,360,0.1,D11,0,AFU,580,610,3.97,0.24,2,mRFP100580610
mRFP,100,360,0.1,D12,12,AFU,580,610,3.97,0.49,2,mRFP100580610
mRFP,100,360,0.1,D13,8,AFU,580,610,3.97,0.98,2,mRFP100580610
mRFP,100,360,0.1,D14,6,AFU,580,610,3.97,2.01,2,mRFP100580610
mRFP,100,360,0.1,E10,4,AFU,580,610,0,0,1,mRFP100580610
mRFP,100,360,0.1,E15,18,AFU,580,610,0,0,2,mRFP100580610
mRFP,100,360,0.1,G1,16,AFU,580,610,0.44,0.24,3,mRFP100580610
mRFP,100,360,0.1,G2,10,AFU,580,610,0.44,0.49,3,mRFP100580610
mRFP,100,360,0.1,G3,16,AFU,580,610,0.44,0.98,3,mRFP100580610
mRFP,100,360,0.1,G4,6,AFU,580,610,0.44,2.01,3,mRFP100580610
mRFP,100,360,0.1,H1,9,AFU,580,610,0.88,0.24,3,mRFP100580610
mRFP,100,360,0.1,H2,8,AFU,580,610,0.88,0.49,3,mRFP100580610
mRFP,100,360,0.1,H3,9,AFU,580,610,0.88,0.98,3,mRFP100580610
mRFP,100,360,0.1,H4,16,AFU,580,610,0.88,2.01,3,mRFP100580610
mRFP,100,360,0.1,I1,10,AFU,580,610,2.2,0.24,3,mRFP100580610
mRFP,100,360,0.1,I2,3,AFU,580,610,2.2,0.49,3,mRFP100580610
mRFP,100,360,0.1,I3,11,AFU,580,610,2.2,0.98,3,mRFP100580610
mRFP,100,360,0.1,I4,24,AFU,580,610,2.2,2.01,3,mRFP100580610
mRFP,100,360,0.1,J1,5,AFU,580,610,3.97,0.24,3,mRFP100580610
mRFP,100,360,0.1,J2,13,AFU,580,610,3.97,0.49,3,mRFP100580610
mRFP,100,360,0.1,J3,7,AFU,580,610,3.97,0.98,3,mRFP100580610
mRFP,100,360,0.1,J4,18,AFU,580,610,3.97,2.01,3,mRFP100580610
mRFP,100,360,0.1,K5,13,AFU,580,610,0,0,3,mRFP100580610
mRFP,100,720,0.2,A6,19,AFU,580,610,0.44,0.24,1,mRFP100580610
mRFP,100,720,0.2,A7,5,AFU,580,610,0.44,0.49,1,mRFP100580610
mRFP,100,720,0.2,A8,18,AFU,580,610,0.44,0.98,1,mRFP100580610
mRFP,100,720,0.2,A9,0,AFU,580,610,0.44,2.01,1,mRFP100580610
mRFP,100,720,0.2,A11,2,AFU,580,610,0.44,0.24,2,mRFP100580610
mRFP,100,720,0.2,A12,0,AFU,580,610,0.44,0.49,2,mRFP100580610
mRFP,100,720,0.2,A13,0,AFU,580,610,0.44,0.98,2,mRFP100580610
mRFP,100,720,0.2,A14,2,AFU,580,610,0.44,2.01,2,mRFP100580610
mRFP,100,720,0.2,B6,14,AFU,580,610,0.88,0.24,1,mRFP100580610
mRFP,100,720,0.2,B7,17,AFU,580,610,0.88,0.49,1,mRFP100580610
mRFP,100,720,0.2,B8,7,AFU,580,610,0.88,0.98,1,mRFP100580610
mRFP,100,720,0.2,B9,3,AFU,580,610,0.88,2.01,1,mRFP100580610
mRFP,100,720,0.2,B11,17,AFU,580,610,0.88,0.24,2,mRFP100580610
mRFP,100,720,0.2,B12,2,AFU,580,610,0.88,0.49,2,mRFP100580610
mRFP,100,720,0.2,B13,0,AFU,580,610,0.88,0.98,2,mRFP100580610
