Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,    Sample ID,Sample Name,Sample Group,Sample Comment,Destination Plate Name,    Destination Well,Transfer Volume
ASSGGA04,ASSGGA04,384PP_AQ_BP,A11,,,,,Destination[1],A1,60
ASSGGA04,ASSGGA04,384PP_AQ_BP,C11,,,,,Destination[1],A1,329
ASSGGA04,ASSGGA04,384PP_AQ_BP,F14,,,,,Destination[1],A1,182
ASSGGA04,ASSGGA04,384PP_AQ_BP,B13,,,,,Destination[1],A1,200
ASSGGA04,ASSGGA04,384PP_AQ_BP,A15,,,,,Destination[1],A1,60
ASSGGA04,ASSGGA04,384PP_AQ_BP,P1,,,,,Destination[1],A1,169
ASSGGA04,ASSGGA04,384PP_AQ_BP,A7,,,,,Destination[1],A2,60
ASSGGA04,ASSGGA04,384PP_AQ_BP,B11,,,,,Destination[1],A2,200
ASSGGA04,ASSGGA04,384PP_AQ_BP,F9,,,,,Destination[1],A2,200
ASSGGA04,ASSGGA04,384PP_AQ_BP,F13,,,,,Destination[1],A2,136
ASSGGA04,ASSGGA04,384PP_AQ_BP,B12,,,,,Destination[1],A2,200
ASSGGA04,ASSGGA04,384PP_AQ_BP,A13,,,,,Destination[1],A2,60
ASSGGA04,ASSGGA04,384PP_AQ_BP,P1,,,,,Destination[1],A2,144
ASSGGA04,ASSGGA04,384PP_AQ_BP,C5,,,,,Destination[1],A5,200
ASSGGA04,ASSGGA04,384PP_AQ_BP,B11,,,,,Destination[1],A5,200
ASSGGA04,ASSGGA04,384PP_AQ_BP,F9,,,,,Destination[1],A5,200
ASSGGA04,ASSGGA04,384PP_AQ_BP,F13,,,,,Destination[1],A5,136
ASSGGA04,ASSGGA04,384PP_AQ_BP,B12,,,,,Destination[1],A5,200
ASSGGA04,ASSGGA04,384PP_AQ_BP,C2,,,,,Destination[1],A5,200
ASSGGA04,ASSGGA04,384PP_AQ_BP,P1,,,,,Destination[1],A5,25
