well,name,concentration,volume,date
A1,Mat1,200.0,65000.0,19/10/2019
A2,Mat2,500.0,65000.0,19/10/2019
A03,water,1.0,21000.0,19/10/2019
A05,water,1.0,21000.0,19/10/2019
A06,water,1.0,21000.0,19/10/2019
A08,water,1.0,21000.0,19/10/2019
A09,water,1.0,21000.0,19/10/2019
A10,water,1.0,21000.0,19/10/2019
A04,water,1.0,21000.0,19/10/2019
A07,water,1.0,21000.0,19/10/2019
A11,water,1.0,21000.0,19/10/2019
A12,water,1.0,21000.0,19/10/2019
A13,water,1.0,21000.0,19/10/2019
A15,water,1.0,21000.0,19/10/2019
A17,Mat1,200.0,21000.0,19/10/2019
A19,water,1.0,21000,19/10/2019
A20,water,1.0,21000.0,19/10/2019
