Fluorophore,Date,Biotek,Gain,AFU per uM,
deGFP,10/4/14,1,61,1517,
deGFP,10/4/14,1,100,53258,
deGFP,10/4/14,2,61,1762,
deGFP,10/4/14,2,100,62732,
deGFP,10/4/14,3,61,2261,
deGFP,10/4/14,3,100,80850,
Citrine,10/4/14,1,61,1487,
Citrine,10/4/14,1,100,51725,
Citrine,10/4/14,2,61,1849,
Citrine,10/4/14,2,100,64985,
Citrine,10/4/14,3,61,2379,
Citrine,10/4/14,3,100,82680,
mRFP,10/4/14,1,61,47.96,
mRFP,10/4/14,1,100,1689,
mRFP,10/4/14,2,61,67.64,
mRFP,10/4/14,2,100,2392,
mRFP,10/4/14,3,61,70.38,
mRFP,10/4/14,3,100,2541,
CFP,10/4/14,1,61,387,
CFP,10/4/14,1,100,13908,
CFP,10/4/14,2,61,513,
CFP,10/4/14,2,100,18136,
CFP,10/4/14,3,61,578,
CFP,10/4/14,3,100,20722,
Venus,10/4/14,1,61,1455,
Venus,10/4/14,1,100,50405,
Venus,10/4/14,2,61,1742,
Venus,10/4/14,2,100,61130,
Venus,10/4/14,3,61,2246,
Venus,10/4/14,3,100,79955,
Cherry,10/4/14,1,61,51.07,
Cherry,10/4/14,1,100,1782,
Cherry,10/4/14,2,61,80.84,
Cherry,10/4/14,2,100,2822,
Cherry,10/4/14,3,61,79.39,
Cherry,10/4/14,3,100,2850,
deGFP,6/23/18,1,61,2042.4,
deGFP,6/23/18,1,100,N/A,
deGFP,6/23/18,2,61,2298,
deGFP,6/23/18,2,100,N/A,
deGFP,6/23/18,3,61,2630,
deGFP,6/23/18,3,100,N/A,
deGFP,6/23/18,4,61,7715,
deGFP,6/23/18,4,100,N/A,
mRFP,6/23/18,1,61,50.442,
mRFP,6/23/18,1,100,1778.6,
mRFP,6/23/18,2,61,74.423,
mRFP,6/23/18,2,100,2657,
mRFP,6/23/18,3,61,68.027,
mRFP,6/23/18,3,100,2450,
mRFP,6/23/18,4,61,369,
mRFP,6/23/18,4,100,12814,
sfGFP,6/23/18,1,61,2469.1,
sfGFP,6/23/18,1,100,N/A,
sfGFP,6/23/18,2,61,2426.4,
sfGFP,6/23/18,2,100,N/A,
sfGFP,6/23/18,3,61,2942.2,
sfGFP,6/23/18,3,100,N/A,
sfGFP,6/23/18,4,61,11708,
sfGFP,6/23/18,4,100,N/A,
mScarlet 1,11/16/20,1,61,184.07,
mScarlet 1,11/16/20,1,100,6461.32,
mScarlet 1,11/16/20,2,61,228.58,
mScarlet 1,11/16/20,2,100,8221.57,
mScarlet 1,11/16/20,3,61,147.29,
mScarlet 1,11/16/20,3,100,5343.6,
mScarlet 1,11/16/20,4,61,570.23,
mScarlet 1,11/16/20,4,100,19279.31,
mScarlet 2,11/16/20,1,61,149.8,
mScarlet 2,11/16/20,1,100,5240.54,
mScarlet 2,11/16/20,2,61,188.25,
mScarlet 2,11/16/20,2,100,6778.11,
mScarlet 2,11/16/20,3,61,98.53,
mScarlet 2,11/16/20,3,100,3590.4,
mScarlet 2,11/16/20,4,61,505.21,
mScarlet 2,11/16/20,4,100,17114.12,
