Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,D2,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,D3,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,D4,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,D5,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,D6,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,D7,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,E2,50,Actual concentration: 1.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,E3,50,Actual concentration: 1.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,E4,50,Actual concentration: 1.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,E5,50,Actual concentration: 1.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,E6,50,Actual concentration: 1.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,E7,50,Actual concentration: 1.00 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,F2,100,Actual concentration: 2.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,F3,100,Actual concentration: 2.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,F4,100,Actual concentration: 2.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,F5,100,Actual concentration: 2.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,F6,100,Actual concentration: 2.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,F7,100,Actual concentration: 2.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,G2,150,Actual concentration: 3.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,G3,150,Actual concentration: 3.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,G4,150,Actual concentration: 3.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,G5,150,Actual concentration: 3.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,G6,150,Actual concentration: 3.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,G7,150,Actual concentration: 3.01 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,H2,200,Actual concentration: 4.02 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,H3,200,Actual concentration: 4.02 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,H4,200,Actual concentration: 4.02 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,H5,200,Actual concentration: 4.02 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,H6,200,Actual concentration: 4.02 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,H7,200,Actual concentration: 4.02 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,I2,250,Actual concentration: 5.02 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,I3,250,Actual concentration: 5.02 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,I4,250,Actual concentration: 5.02 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,I5,250,Actual concentration: 5.02 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,I6,250,Actual concentration: 5.02 nM
Source[1],384_PP_AP_BP,A12,Integrase,Nunc_384_black_glassbottom,I7,250,Actual concentration: 5.02 nM
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,D2,1250,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,D3,1200,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,D4,1150,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,D5,1100,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,D6,1050,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,D7,1000,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,E2,1200,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,E3,1150,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,E4,1100,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,E5,1050,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,E6,1000,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,E7,950,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,F2,1150,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,F3,1100,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,F4,1050,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,F5,1000,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,F6,950,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,F7,900,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,G2,1100,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,G3,1050,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,G4,1000,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,G5,950,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,G6,900,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,G7,850,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,H2,1050,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,H3,1000,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,H4,950,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,H5,900,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,H6,850,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,H7,800,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,I2,1000,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,I3,950,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,I4,900,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,I5,850,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,I6,800,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,I7,750,
Source[1],384_PP_AP_BP,A14,water,Nunc_384_black_glassbottom,J2,1250,
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,D2,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,D3,50,Actual concentration: 0.98 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,D4,100,Actual concentration: 1.95 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,D5,150,Actual concentration: 2.93 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,D6,200,Actual concentration: 3.91 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,D7,250,Actual concentration: 4.88 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,E2,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,E3,50,Actual concentration: 0.98 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,E4,100,Actual concentration: 1.95 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,E5,150,Actual concentration: 2.93 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,E6,200,Actual concentration: 3.91 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,E7,250,Actual concentration: 4.88 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,F2,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,F3,50,Actual concentration: 0.98 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,F4,100,Actual concentration: 1.95 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,F5,150,Actual concentration: 2.93 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,F6,200,Actual concentration: 3.91 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,F7,250,Actual concentration: 4.88 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,G2,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,G3,50,Actual concentration: 0.98 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,G4,100,Actual concentration: 1.95 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,G5,150,Actual concentration: 2.93 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,G6,200,Actual concentration: 3.91 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,G7,250,Actual concentration: 4.88 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,H2,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,H3,50,Actual concentration: 0.98 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,H4,100,Actual concentration: 1.95 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,H5,150,Actual concentration: 2.93 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,H6,200,Actual concentration: 3.91 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,H7,250,Actual concentration: 4.88 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,I2,0,Actual concentration: 0.00 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,I3,50,Actual concentration: 0.98 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,I4,100,Actual concentration: 1.95 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,I5,150,Actual concentration: 2.93 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,I6,200,Actual concentration: 3.91 nM
Source[1],384_PP_AP_BP,A16,Reporter,Nunc_384_black_glassbottom,I7,250,Actual concentration: 4.88 nM
Source[1],384_PP_AP_BP,A18,txtl_mm,Nunc_384_black_glassbottom,D2,3750,
Source[1],384_PP_AP_BP,A18,txtl_mm,Nunc_384_black_glassbottom,D3,3750,
Source[1],384_PP_AP_BP,A18,txtl_mm,Nunc_384_black_glassbottom,D4,3750,
